x,panel,w1,site_index,sample_index,stratum,x_coord,y_coord,is_in_sample,stratum_index,site_in_stratum_index,y,seq_site_index,trials
0,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,70,1,100
0,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,77,1,100
0,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,81,1,100
0,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,79,1,100
5,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,90,1,100
5,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,85,1,100
5,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,85,1,100
5,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,91,1,100
0,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,72,2,100
0,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,76,2,100
0,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,77,2,100
0,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,68,2,100
5,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,91,2,100
5,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,84,2,100
5,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,78,2,100
5,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,85,2,100
0,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,75,1,100
0,panel-01,0.23150062745587027,202,2,A,0.07500000000000001,0.475,TRUE,1,6,78,1,100
0,panel-01,0.23150062745587027,202,3,A,0.07500000000000001,0.475,TRUE,1,6,80,1,100
0,panel-01,0.23150062745587027,202,4,A,0.07500000000000001,0.475,TRUE,1,6,68,1,100
5,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,83,1,100
5,panel-01,0.23150062745587027,202,2,A,0.07500000000000001,0.475,TRUE,1,6,78,1,100
5,panel-01,0.23150062745587027,202,3,A,0.07500000000000001,0.475,TRUE,1,6,83,1,100
5,panel-01,0.23150062745587027,202,4,A,0.07500000000000001,0.475,TRUE,1,6,78,1,100
0,panel-01,0.1638780453866941,211,1,B,0.525,0.475,TRUE,2,204,72,3,100
0,panel-01,0.1638780453866941,211,2,B,0.525,0.475,TRUE,2,204,74,3,100
0,panel-01,0.1638780453866941,211,3,B,0.525,0.475,TRUE,2,204,68,3,100
0,panel-01,0.1638780453866941,211,4,B,0.525,0.475,TRUE,2,204,70,3,100
5,panel-01,0.1638780453866941,211,1,B,0.525,0.475,TRUE,2,204,88,3,100
5,panel-01,0.1638780453866941,211,2,B,0.525,0.475,TRUE,2,204,84,3,100
5,panel-01,0.1638780453866941,211,3,B,0.525,0.475,TRUE,2,204,85,3,100
5,panel-01,0.1638780453866941,211,4,B,0.525,0.475,TRUE,2,204,87,3,100
0,panel-01,-0.07553622373303263,326,1,A,0.275,0.17499999999999993,TRUE,1,38,79,2,100
0,panel-01,-0.07553622373303263,326,2,A,0.275,0.17499999999999993,TRUE,1,38,84,2,100
0,panel-01,-0.07553622373303263,326,3,A,0.275,0.17499999999999993,TRUE,1,38,78,2,100
0,panel-01,-0.07553622373303263,326,4,A,0.275,0.17499999999999993,TRUE,1,38,79,2,100
5,panel-01,-0.07553622373303263,326,1,A,0.275,0.17499999999999993,TRUE,1,38,80,2,100
5,panel-01,-0.07553622373303263,326,2,A,0.275,0.17499999999999993,TRUE,1,38,82,2,100
