x,panel,w1,site_index,sample_index,stratum,x_coord,y_coord,is_in_sample,stratum_index,site_in_stratum_index,y,seq_site_index
0,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,7,1
0,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,0,1
0,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,2,1
0,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,4,1
5,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,6,1
5,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,11,1
5,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,6,1
5,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,6,1
0,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,3,2
0,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,2,2
0,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,6,2
0,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,2,2
5,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,7,2
5,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,14,2
5,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,15,2
5,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,9,2
0,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,5,1
0,panel-01,0.23150062745587027,202,2,A,0.07500000000000001,0.475,TRUE,1,6,2,1
0,panel-01,0.23150062745587027,202,3,A,0.07500000000000001,0.475,TRUE,1,6,6,1
0,panel-01,0.23150062745587027,202,4,A,0.07500000000000001,0.475,TRUE,1,6,4,1
5,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,2,1
