stratum,y_sim,park_unit,event_year,plot,site
B,0.1158300212153385,ELDO,1992,1,178
B,14.699136110212375,ELDO,1992,2,178
B,0.014808323650697756,ELDO,1992,3,178
B,0.12098314806114924,ELDO,1992,4,178
B,2.1266652574194205,ELDO,1997,1,178
B,1.3407303285355245,ELDO,1997,2,178
B,5.165447399778206,ELDO,1997,3,178
B,4.953383623509711,ELDO,1997,4,178
B,0.2957015172343756,ELDO,1992,1,183
B,0.015177085952772913,ELDO,1992,2,183
B,2.6921513808362326e-4,ELDO,1992,3,183
B,2.446617884195234,ELDO,1992,4,183
B,0.3806440146350638,ELDO,1997,1,183
B,5.968003209006405,ELDO,1997,2,183
B,0.3514417810108484,ELDO,1997,3,183
B,11.705068943962214,ELDO,1997,4,183
A,2.552915974583938,ELDO,1992,1,202
A,0.3630268732389098,ELDO,1992,2,202
A,1.9420934814341628,ELDO,1992,3,202
A,1.7307517310035068,ELDO,1992,4,202
A,3.32437550906942,ELDO,1997,1,202
A,3.710270066184369,ELDO,1997,2,202
A,5.039271705224269,ELDO,1997,3,202
A,3.962950613541902,ELDO,1997,4,202
B,1.8895687310439169,ELDO,1992,1,211
B,0.4547948818176595,ELDO,1992,2,211
B,10.728635502501305,ELDO,1992,3,211
B,1.3831384300201264,ELDO,1992,4,211
B,5.817136183056998,ELDO,1997,1,211
B,10.20740698589201,ELDO,1997,2,211
B,3.0710772436235434,ELDO,1997,3,211
B,11.137867700215864,ELDO,1997,4,211
A,1.9759464367169624,ELDO,1992,1,326
A,0.2230200460850342,ELDO,1992,2,326
A,2.5690375525342946,ELDO,1992,3,326
A,2.656937010029438,ELDO,1992,4,326
A,4.556769819497278,ELDO,1997,1,326
A,4.8754260058883725,ELDO,1997,2,326
A,5.8907008579315665,ELDO,1997,3,326
A,2.768855669238536,ELDO,1997,4,326
B,0.05622146319448084,ELDO,1992,1,333
B,0.6154991945413166,ELDO,1992,2,333
B,0.06366455408327318,ELDO,1992,3,333
B,0.401419442423586,ELDO,1992,4,333
B,4.780097495698539,ELDO,1997,1,333
B,7.010725854773003,ELDO,1997,2,333
B,3.604700446209251,ELDO,1997,3,333
B,0.8806053834738957,ELDO,1997,4,333
A,3.32737244854427,ELDO,1992,1,342
A,1.5883185963920974,ELDO,1992,2,342
A,3.795333419560507,ELDO,1992,3,342
A,3.7217729896294185,ELDO,1992,4,342
A,6.128890019643345,ELDO,1997,1,342
A,3.473069288076296,ELDO,1997,2,342
A,3.7470829340315266,ELDO,1997,3,342
A,4.751584480684869,ELDO,1997,4,342
A,2.992504804269638,ELDO,1992,1,368
A,1.890329297818151,ELDO,1992,2,368
A,2.8697906210373194,ELDO,1992,3,368
A,1.5592920513496207,ELDO,1992,4,368
A,5.457367636252362,ELDO,1997,1,368
A,3.1660500264021554,ELDO,1997,2,368
A,4.069100252086871,ELDO,1997,3,368
A,4.8245522121675934,ELDO,1997,4,368
B,4.114324885842395,ELDO,1993,1,21
B,7.349608917112953,ELDO,1993,2,21
B,4.546367837158682,ELDO,1993,3,21
B,2.0518569620382228,ELDO,1993,4,21
B,12.64097664583041,ELDO,1998,1,21
B,17.642233401084706,ELDO,1998,2,21
B,2.8382726857307614,ELDO,1998,3,21
B,0.2798897195501658,ELDO,1998,4,21
B,0.1815936809869283,ELDO,1993,1,140
B,0.03558094088107111,ELDO,1993,2,140
B,0.031975630729669496,ELDO,1993,3,140
B,0.018610626153211806,ELDO,1993,4,140
B,1.8251237480970361,ELDO,1998,1,140
B,7.528451271438534,ELDO,1998,2,140
B,5.445410566806074,ELDO,1998,3,140
B,16.382677133800417,ELDO,1998,4,140
B,16.620515646244748,ELDO,1993,1,150
B,0.002011855144196818,ELDO,1993,2,150
B,5.614252807012372,ELDO,1993,3,150
B,1.5123649790211302,ELDO,1993,4,150
B,39.794916726496574,ELDO,1998,1,150
B,5.63618606843061,ELDO,1998,2,150
B,3.1166136817709225,ELDO,1998,3,150
B,10.575032779100223,ELDO,1998,4,150
A,2.7901441254547485,ELDO,1993,1,347
A,4.384157917642272,ELDO,1993,1,347
A,1.9247318873669488,ELDO,1993,2,347
A,4.771703313514515,ELDO,1993,2,347
A,1.6562096537073894,ELDO,1993,3,347
A,2.905687321350929,ELDO,1993,3,347
A,3.43551356773517,ELDO,1993,4,347
A,2.7835889642665634,ELDO,1993,4,347
A,5.043398177047627,ELDO,1998,1,347
A,5.2609178836074975,ELDO,1998,1,347
A,5.202861889549132,ELDO,1998,2,347
A,4.923669680489769,ELDO,1998,2,347
A,5.5428123609698,ELDO,1998,3,347
A,6.439676441279083,ELDO,1998,3,347
A,4.241215761206391,ELDO,1998,4,347
A,4.259397910911686,ELDO,1998,4,347
B,13.266297063327869,ELDO,1993,1,357
B,11.743241276904183,ELDO,1993,2,357
B,13.882390416931104,ELDO,1993,3,357
B,0.009518676964650037,ELDO,1993,4,357
B,1.061215948272152,ELDO,1998,1,357
B,1.9062542759166645,ELDO,1998,2,357
B,1.1929092172183124,ELDO,1998,3,357
B,18.302684404852364,ELDO,1998,4,357
A,3.060166446145221,ELDO,1993,1,381
A,1.2851382773682019,ELDO,1993,2,381
A,4.259201995248831,ELDO,1993,3,381
A,3.056501371226151,ELDO,1993,4,381
A,4.188551173901079,ELDO,1998,1,381
A,5.075373967861421,ELDO,1998,2,381
A,4.790011119782598,ELDO,1998,3,381
A,7.090206271690628,ELDO,1998,4,381
B,5.285919407318997,ELDO,1994,1,126
B,0.4589783770094023,ELDO,1994,2,126
B,12.74664383495914,ELDO,1994,3,126
B,6.572531669786766,ELDO,1994,4,126
B,4.4344297144667415,ELDO,1999,1,126
B,2.1264095961973926,ELDO,1999,2,126
B,4.5416782904190365,ELDO,1999,3,126
B,26.435564729834034,ELDO,1999,4,126
B,0.677373512724198,ELDO,1994,1,237
B,1.6156557695227485,ELDO,1994,2,237
B,5.791262205668057,ELDO,1994,3,237
B,26.75879359007396,ELDO,1994,4,237
B,5.127118196283122,ELDO,1999,1,237
B,4.348950725673374,ELDO,1999,2,237
B,12.515262443643696,ELDO,1999,3,237
B,4.493971773169683,ELDO,1999,4,237
A,3.5203762180527924,ELDO,1994,1,262
A,4.341159189773497,ELDO,1994,2,262
A,3.3371866425997765,ELDO,1994,3,262
A,3.7573775972257106,ELDO,1994,4,262
A,5.704593575398145,ELDO,1999,1,262
A,7.472482583219788,ELDO,1999,2,262
A,6.3057002465984535,ELDO,1999,3,262
A,9.354862924841427,ELDO,1999,4,262
B,6.699692098183681,ELDO,1994,1,278
B,0.3661756098091727,ELDO,1994,2,278
B,0.14835618776330928,ELDO,1994,3,278
B,6.681792910189499,ELDO,1994,4,278
B,14.794528686372521,ELDO,1999,1,278
B,18.39053092124379,ELDO,1999,2,278
B,17.728194452300155,ELDO,1999,3,278
B,1.6608069914203656,ELDO,1999,4,278
A,1.9136184992582075,ELDO,1994,1,286
A,2.661483932557814,ELDO,1994,2,286
A,2.189463274757113,ELDO,1994,3,286
A,2.616330606818828,ELDO,1994,4,286
A,5.235184620066476,ELDO,1999,1,286
A,5.542623720583899,ELDO,1999,2,286
A,5.106360374296566,ELDO,1999,3,286
A,6.4368972205606685,ELDO,1999,4,286
B,0.2148900241135549,ELDO,1994,1,332
B,0.6262967955554793,ELDO,1994,2,332
B,0.06131143912231047,ELDO,1994,3,332
B,0.40924518264467274,ELDO,1994,4,332
B,16.096925108254315,ELDO,1999,1,332
B,2.241721005446414,ELDO,1999,2,332
B,1.205675701604174,ELDO,1999,3,332
B,12.807436576212346,ELDO,1999,4,332
A,3.798089761073693,ELDO,1994,1,363
A,3.555451529196076,ELDO,1994,2,363
A,4.046583687899532,ELDO,1994,3,363
A,2.0595895254065564,ELDO,1994,4,363
A,6.037649543750268,ELDO,1999,1,363
A,7.436640353195837,ELDO,1999,2,363
A,4.911478878605237,ELDO,1999,3,363
A,6.761648818909076,ELDO,1999,4,363
A,5.240326637983444,ELDO,1994,1,383
A,3.6077502533088683,ELDO,1994,2,383
A,2.4358437477710884,ELDO,1994,3,383
A,5.600958019782261,ELDO,1994,4,383
A,5.598375359540832,ELDO,1999,1,383
A,5.943336509743882,ELDO,1999,2,383
A,7.2478489295034665,ELDO,1999,3,383
A,6.055528374746257,ELDO,1999,4,383
B,4.170601208446319,ELDO,1995,1,22
B,5.443664000521901,ELDO,1995,2,22
B,14.948803288874911,ELDO,1995,3,22
B,7.707675222046511,ELDO,1995,4,22
B,8.879593064326954,ELDO,1995,1,95
B,0.6720462021843928,ELDO,1995,2,95
B,4.029142229290571,ELDO,1995,3,95
B,1.568731979530055,ELDO,1995,4,95
B,0.7691808541751772,ELDO,1995,1,172
B,0.4476154811948555,ELDO,1995,2,172
B,19.154288601870338,ELDO,1995,3,172
B,1.794620942385708,ELDO,1995,4,172
A,4.184138956516691,ELDO,1995,1,221
A,3.568592736056881,ELDO,1995,2,221
A,4.734585920039849,ELDO,1995,3,221
A,4.55729366330158,ELDO,1995,4,221
A,5.6128911887738555,ELDO,1995,1,264
A,2.3478190550177453,ELDO,1995,2,264
A,3.5254913279957925,ELDO,1995,3,264
A,4.706717975791774,ELDO,1995,4,264
A,4.1790551409807435,ELDO,1995,1,305
A,2.851108449422778,ELDO,1995,2,305
A,5.411165546230916,ELDO,1995,3,305
A,5.9771025849874135,ELDO,1995,4,305
B,2.715920140497041,ELDO,1995,1,330
B,0.6825508907466967,ELDO,1995,2,330
B,5.167690217863966,ELDO,1995,3,330
B,15.435936656192583,ELDO,1995,4,330
A,3.975016595988574,ELDO,1995,1,341
A,1.8816969324471282,ELDO,1995,2,341
A,3.886925899161016,ELDO,1995,3,341
A,3.6481182191384227,ELDO,1995,4,341
B,2.883422084030608,ELDO,1996,1,17
B,19.81611948527664,ELDO,1996,2,17
B,10.95002244917244,ELDO,1996,3,17
B,1.8525369715586164,ELDO,1996,4,17
B,5.572259678674313,ELDO,1996,1,107
B,0.441503672499787,ELDO,1996,2,107
B,4.404463955301756,ELDO,1996,3,107
B,2.5717560826667554,ELDO,1996,4,107
B,1.7644179532090132,ELDO,1996,1,133
B,0.0014621830966664547,ELDO,1996,2,133
B,0.12620086729224264,ELDO,1996,3,133
B,16.31747544537699,ELDO,1996,4,133
A,3.8558241353984655,ELDO,1996,1,223
A,3.676846335088332,ELDO,1996,2,223
A,5.307411108479393,ELDO,1996,3,223
A,2.9880494038242937,ELDO,1996,4,223
A,5.02990665505752,ELDO,1996,1,302
A,4.158746753413542,ELDO,1996,2,302
A,3.4633230265079784,ELDO,1996,3,302
A,2.202495248793271,ELDO,1996,4,302
A,2.7683008101768762,ELDO,1996,1,325
A,4.502254800914736,ELDO,1996,2,325
A,3.555409115449663,ELDO,1996,3,325
A,4.855855656365879,ELDO,1996,4,325
