x,panel,w1,site_index,sample_index,stratum,x_coord,y_coord,is_in_sample,stratum_index,site_in_stratum_index,y,seq_site_index
0,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,1,1
0,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,5,1
0,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,1,1
0,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,4,1
5,panel-01,-0.08981586179865036,178,1,B,0.875,0.575,TRUE,2,176,4,1
5,panel-01,-0.08981586179865036,178,2,B,0.875,0.575,TRUE,2,176,11,1
5,panel-01,-0.08981586179865036,178,3,B,0.875,0.575,TRUE,2,176,10,1
5,panel-01,-0.08981586179865036,178,4,B,0.875,0.575,TRUE,2,176,11,1
0,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,0,2
0,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,2,2
0,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,1,2
0,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,3,2
5,panel-01,0.07334993401744722,183,1,B,0.125,0.5249999999999999,TRUE,2,179,9,2
5,panel-01,0.07334993401744722,183,2,B,0.125,0.5249999999999999,TRUE,2,179,12,2
5,panel-01,0.07334993401744722,183,3,B,0.125,0.5249999999999999,TRUE,2,179,3,2
5,panel-01,0.07334993401744722,183,4,B,0.125,0.5249999999999999,TRUE,2,179,6,2
0,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,3,1
0,panel-01,0.23150062745587027,202,2,A,0.07500000000000001,0.475,TRUE,1,6,2,1
0,panel-01,0.23150062745587027,202,3,A,0.07500000000000001,0.475,TRUE,1,6,1,1
0,panel-01,0.23150062745587027,202,4,A,0.07500000000000001,0.475,TRUE,1,6,3,1
5,panel-01,0.23150062745587027,202,1,A,0.07500000000000001,0.475,TRUE,1,6,7,1
5,panel-01,0.23150062745587027,202,2,A,0.07500000000000001,0.475,TRUE,1,6,1,1
5,panel-01,0.23150062745587027,202,3,A,0.07500000000000001,0.475,TRUE,1,6,3,1
5,panel-01,0.23150062745587027,202,4,A,0.07500000000000001,0.475,TRUE,1,6,3,1
0,panel-01,0.1638780453866941,211,1,B,0.525,0.475,TRUE,2,204,4,3
0,panel-01,0.1638780453866941,211,2,B,0.525,0.475,TRUE,2,204,0,3
0,panel-01,0.1638780453866941,211,3,B,0.525,0.475,TRUE,2,204,5,3
0,panel-01,0.1638780453866941,211,4,B,0.525,0.475,TRUE,2,204,1,3
5,panel-01,0.1638780453866941,211,1,B,0.525,0.475,TRUE,2,204,8,3
5,panel-01,0.1638780453866941,211,2,B,0.525,0.475,TRUE,2,204,6,3
5,panel-01,0.1638780453866941,211,3,B,0.525,0.475,TRUE,2,204,6,3
5,panel-01,0.1638780453866941,211,4,B,0.525,0.475,TRUE,2,204,2,3
0,panel-01,-0.07553622373303263,326,1,A,0.275,0.17499999999999993,TRUE,1,38,4,2
0,panel-01,-0.07553622373303263,326,2,A,0.275,0.17499999999999993,TRUE,1,38,8,2
0,panel-01,-0.07553622373303263,326,3,A,0.275,0.17499999999999993,TRUE,1,38,3,2
0,panel-01,-0.07553622373303263,326,4,A,0.275,0.17499999999999993,TRUE,1,38,4,2
5,panel-01,-0.07553622373303263,326,1,A,0.275,0.17499999999999993,TRUE,1,38,8,2
5,panel-01,-0.07553622373303263,326,2,A,0.275,0.17499999999999993,TRUE,1,38,6,2
5,panel-01,-0.07553622373303263,326,3,A,0.275,0.17499999999999993,TRUE,1,38,6,2
5,panel-01,-0.07553622373303263,326,4,A,0.275,0.17499999999999993,TRUE,1,38,5,2
0,panel-01,-0.09386171570313634,333,1,B,0.625,0.17499999999999993,TRUE,2,294,3,4
0,panel-01,-0.09386171570313634,333,2,B,0.625,0.17499999999999993,TRUE,2,294,4,4
0,panel-01,-0.09386171570313634,333,3,B,0.625,0.17499999999999993,TRUE,2,294,2,4
0,panel-01,-0.09386171570313634,333,4,B,0.625,0.17499999999999993,TRUE,2,294,6,4
5,panel-01,-0.09386171570313634,333,1,B,0.625,0.17499999999999993,TRUE,2,294,10,4
5,panel-01,-0.09386171570313634,333,2,B,0.625,0.17499999999999993,TRUE,2,294,8,4
5,panel-01,-0.09386171570313634,333,3,B,0.625,0.17499999999999993,TRUE,2,294,10,4
5,panel-01,-0.09386171570313634,333,4,B,0.625,0.17499999999999993,TRUE,2,294,19,4
0,panel-01,0.21524043179748936,342,1,A,0.07500000000000001,0.125,TRUE,1,41,0,3
0,panel-01,0.21524043179748936,342,2,A,0.07500000000000001,0.125,TRUE,1,41,2,3
0,panel-01,0.21524043179748936,342,3,A,0.07500000000000001,0.125,TRUE,1,41,7,3
0,panel-01,0.21524043179748936,342,4,A,0.07500000000000001,0.125,TRUE,1,41,0,3
5,panel-01,0.21524043179748936,342,1,A,0.07500000000000001,0.125,TRUE,1,41,7,3
5,panel-01,0.21524043179748936,342,2,A,0.07500000000000001,0.125,TRUE,1,41,1,3
5,panel-01,0.21524043179748936,342,3,A,0.07500000000000001,0.125,TRUE,1,41,6,3
5,panel-01,0.21524043179748936,342,4,A,0.07500000000000001,0.125,TRUE,1,41,2,3
0,panel-01,-0.04911682354128025,368,1,A,0.375,0.07499999999999996,TRUE,1,55,5,4
0,panel-01,-0.04911682354128025,368,2,A,0.375,0.07499999999999996,TRUE,1,55,4,4
0,panel-01,-0.04911682354128025,368,3,A,0.375,0.07499999999999996,TRUE,1,55,3,4
0,panel-01,-0.04911682354128025,368,4,A,0.375,0.07499999999999996,TRUE,1,55,3,4
5,panel-01,-0.04911682354128025,368,1,A,0.375,0.07499999999999996,TRUE,1,55,7,4
5,panel-01,-0.04911682354128025,368,2,A,0.375,0.07499999999999996,TRUE,1,55,9,4
5,panel-01,-0.04911682354128025,368,3,A,0.375,0.07499999999999996,TRUE,1,55,6,4
5,panel-01,-0.04911682354128025,368,4,A,0.375,0.07499999999999996,TRUE,1,55,2,4
1,panel-02,-0.13392743631454135,21,1,B,0.025,0.925,TRUE,2,21,7,5
1,panel-02,-0.13392743631454135,21,2,B,0.025,0.925,TRUE,2,21,7,5
1,panel-02,-0.13392743631454135,21,3,B,0.025,0.925,TRUE,2,21,2,5
1,panel-02,-0.13392743631454135,21,4,B,0.025,0.925,TRUE,2,21,6,5
6,panel-02,-0.13392743631454135,21,1,B,0.025,0.925,TRUE,2,21,12,5
6,panel-02,-0.13392743631454135,21,2,B,0.025,0.925,TRUE,2,21,9,5
6,panel-02,-0.13392743631454135,21,3,B,0.025,0.925,TRUE,2,21,11,5
6,panel-02,-0.13392743631454135,21,4,B,0.025,0.925,TRUE,2,21,15,5
1,panel-02,-0.025185554058755,140,1,B,0.9750000000000001,0.675,TRUE,2,140,8,6
1,panel-02,-0.025185554058755,140,2,B,0.9750000000000001,0.675,TRUE,2,140,3,6
1,panel-02,-0.025185554058755,140,3,B,0.9750000000000001,0.675,TRUE,2,140,2,6
1,panel-02,-0.025185554058755,140,4,B,0.9750000000000001,0.675,TRUE,2,140,4,6
6,panel-02,-0.025185554058755,140,1,B,0.9750000000000001,0.675,TRUE,2,140,14,6
6,panel-02,-0.025185554058755,140,2,B,0.9750000000000001,0.675,TRUE,2,140,9,6
6,panel-02,-0.025185554058755,140,3,B,0.9750000000000001,0.675,TRUE,2,140,8,6
6,panel-02,-0.025185554058755,140,4,B,0.9750000000000001,0.675,TRUE,2,140,8,6
1,panel-02,0.20389310042639422,150,1,B,0.47500000000000003,0.625,TRUE,2,149,2,7
1,panel-02,0.20389310042639422,150,2,B,0.47500000000000003,0.625,TRUE,2,149,6,7
1,panel-02,0.20389310042639422,150,3,B,0.47500000000000003,0.625,TRUE,2,149,2,7
1,panel-02,0.20389310042639422,150,4,B,0.47500000000000003,0.625,TRUE,2,149,3,7
6,panel-02,0.20389310042639422,150,1,B,0.47500000000000003,0.625,TRUE,2,149,11,7
6,panel-02,0.20389310042639422,150,2,B,0.47500000000000003,0.625,TRUE,2,149,6,7
6,panel-02,0.20389310042639422,150,3,B,0.47500000000000003,0.625,TRUE,2,149,16,7
6,panel-02,0.20389310042639422,150,4,B,0.47500000000000003,0.625,TRUE,2,149,5,7
1,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,5,5
1,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,4,5
1,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,4,5
1,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,6,5
1,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,4,5
1,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,3,5
1,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,5,5
1,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,4,5
6,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,3,5
6,panel-02,-0.05799648854268727,347,1,A,0.325,0.125,TRUE,1,46,3,5
6,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,5,5
6,panel-02,-0.05799648854268727,347,2,A,0.325,0.125,TRUE,1,46,6,5
6,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,2,5
6,panel-02,-0.05799648854268727,347,3,A,0.325,0.125,TRUE,1,46,4,5
6,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,2,5
6,panel-02,-0.05799648854268727,347,4,A,0.325,0.125,TRUE,1,46,3,5
1,panel-02,-0.22277477963659675,357,1,B,0.8250000000000001,0.125,TRUE,2,310,8,8
1,panel-02,-0.22277477963659675,357,2,B,0.8250000000000001,0.125,TRUE,2,310,3,8
1,panel-02,-0.22277477963659675,357,3,B,0.8250000000000001,0.125,TRUE,2,310,6,8
1,panel-02,-0.22277477963659675,357,4,B,0.8250000000000001,0.125,TRUE,2,310,4,8
6,panel-02,-0.22277477963659675,357,1,B,0.8250000000000001,0.125,TRUE,2,310,11,8
6,panel-02,-0.22277477963659675,357,2,B,0.8250000000000001,0.125,TRUE,2,310,24,8
6,panel-02,-0.22277477963659675,357,3,B,0.8250000000000001,0.125,TRUE,2,310,13,8
6,panel-02,-0.22277477963659675,357,4,B,0.8250000000000001,0.125,TRUE,2,310,14,8
1,panel-02,0.08834762411476607,381,1,A,0.025,0.02499999999999991,TRUE,1,56,4,6
1,panel-02,0.08834762411476607,381,2,A,0.025,0.02499999999999991,TRUE,1,56,6,6
1,panel-02,0.08834762411476607,381,3,A,0.025,0.02499999999999991,TRUE,1,56,4,6
