Row,MDCATY,SiteName,Year,Botanist,deficit.pregr
1,Gulley1,Grid_100,2009,DS,418.7766661
2,Gulley1,Grid_100,2010,DS,434.9612421
3,Gulley1,Grid_100,2011,JA,408.9919742
4,Gulley1,Grid_100,2012,JA,450.2639661
5,Gulley1,Grid_100,2013,JA,532.0683071
6,Gulley1,Grid_100,2014,JA,437.0008004
3240,Upland,LIBI_050,2014,JA,381.9736062
3241,Upland,LIBI_050,2015,JA,328.6534898
3242,Upland,LIBI_050,2016,JA,431.6948948
3243,Upland,LIBI_050,2017,JA,402.8102409
3244,Upland,LIBI_050,2018,JA,393.2275301
3245,Upland,LIBI_050,2019,JA,247.7891026
